concept1,concept2,textures,mse,range
frog,lion,"M75, P102, P51, P0, G22, G24",0.0014197936745734335,0.9457317303199554
frog,lion,"F22, P0, F51, S0, M102, F75",9.064449155579404e-4,0.9176333158892468
frog,lion,"F75, S0, F22, F102, M102, P75",0.0010655057792707014,0.94810793470522
frog,lion,"G102, F102, P22, F24, M0, F53",0.001269518825004342,0.9571799811392238
frog,lion,"F0, P102, M102, P0, M22, F24",0.001281313451756864,0.9499265751310574
frog,lion,"P53, M102, G102, G51, S22, S102",0.0013641594642169773,0.9577549190249968
frog,lion,"P75, G51, S53, G53, M102, G24",0.0012241779208725116,0.8952393329430182
frog,lion,"G0, S75, S24, P53, S22, F22",0.001359447587751472,0.8671652887373003
frog,lion,"P75, F51, S0, M102, F102, F22",0.001120931366125749,0.9330731216942868
frog,lion,"M102, F53, S0, P75, F22, F75",0.001278307231010533,0.9587226790215447
frog,lion,"P22, G22, F102, F24, P51, M24",9.267388147207736e-4,0.9159649065876312
frog,lion,"M102, F0, P0, M53, F24, P53",0.0012146485933458113,0.943238653341565
frog,lion,"M51, F102, G102, P53, P75, G22",0.0014555745030006154,0.9238686730598202
frog,lion,"P22, M24, F24, F102, F0, G22",8.788748017385455e-4,0.9592295950904676
frog,lion,"G102, P24, G75, F0, P22, M51",0.0010238035468230022,0.9563180144465077
frog,lion,"F0, G22, M51, G53, P102, P53",0.001382924301102387,0.9783722578345018
frog,lion,"M102, F22, M24, G22, M75, F75",0.0016601172958355282,0.8899171851056417
frog,lion,"P0, S51, G102, M75, P24, G22",0.0015506996186706763,0.9501897891466775
frog,lion,"F102, F53, S0, P0, F22, M102",0.001007908588306992,0.9431125007761177
frog,lion,"F102, F53, F22, M102, S53, P24",0.0012434275795127597,0.9477362177888737
frog,lion,"S102, P102, G51, S22, M102, G75",0.0011710834098461412,0.9271140229218817
frog,lion,"F0, P75, G22, G24, P51, M51",0.0010131162758538425,0.9453154353514891
frog,lion,"F0, G24, G102, P22, M51, P24",6.841890882959588e-4,0.9522499002738726
frog,lion,"F102, M102, S75, P102, F75, F22",0.0011063037186051369,0.9565459677285251
frog,lion,"S0, G102, S22, G75, M102, P75",0.001178817936084869,0.9251168236018027
frog,lion,"S53, G75, G53, G102, P0, M102",0.0013770039167701235,0.9094600368180419
frog,lion,"P22, M22, P51, G22, F24, F53",9.600168416422945e-4,0.9150804380424893
frog,lion,"G24, P22, M51, P24, G51, F0",6.965022761657438e-4,0.9522499002738726
frog,lion,"S0, F102, F22, F75, M102, P53",0.0012322423629233044,0.94810793470522
frog,lion,"F24, P0, P75, F0, M102, M24",0.0012244517176343871,0.9441722427685914
frog,lion,"G22, S53, G102, P53, P102, M75",0.0013425699109143668,0.9717277605267157
frog,lion,"G75, P24, P0, M51, G102, F0",0.0014677983978179509,0.9530363526284945
frog,lion,"P24, F102, M102, F75, S22, F22",0.0016882299757242016,0.936302095334935
frog,lion,"P53, S22, M102, G102, S51, G75",0.0013086452242113387,0.9284712896510388
frog,lion,"F0, M24, F24, P75, M102, P0",0.0012244517176343871,0.9441722427685914
frog,lion,"P24, G75, G53, S51, M102, G102",0.00127977992071998,0.908190785854522
frog,lion,"G102, G24, G53, P75, S0, M102",9.296403129287229e-4,0.9187517305433842
frog,lion,"M102, F22, F102, S51, F75, P102",0.0010114512500592513,0.9514624007544561
frog,lion,"G51, G24, P53, G53, M102, S0",0.0013044866219105165,0.9187517305433842
frog,lion,"P24, F22, S53, M102, F53, F75",0.0014563019254296742,0.9633463960343007
frog,lion,"G102, S0, G22, S53, P53, M102",0.0014261784443277577,0.9399109419578839
frog,lion,"G53, S102, G102, P24, G24, M102",0.0010825901811894628,0.9005697026104924
frog,lion,"P102, P24, F0, G75, M51, G22",9.221732746597372e-4,0.9635632796130039
frog,lion,"P51, M102, F102, F22, P22, S51",0.0016223682329725348,0.8976165056873664
frog,lion,"M53, F102, F22, G0, M102, F75",0.0011516738306029265,0.974537923438976
frog,lion,"S75, M102, P51, F102, F24, F0",0.0011777075723019505,0.9390302962418882
frog,lion,"S0, G75, M102, G102, P24, G24",0.00110550771739915,0.9272958309453917
frog,lion,"F0, S22, P24, P53, G22, M51",9.530061598243028e-4,0.9591894363995875
frog,lion,"G0, G51, S22, F24, G75, M102",0.0013822800554549985,0.9133109842315177
frog,lion,"G24, P75, S75, G102, S22, M102",0.0015630806105713727,0.8972160114509651
frog,lion,"P0, G24, G51, M75, P75, G53",0.0012887709397903773,0.9534171045955594
frog,lion,"M75, F51, P22, F24, F53, S0",0.0014212583636569354,0.9262816521122493
frog,lion,"F22, P51, S102, F75, M102, F0",0.0011430435496639297,0.9325894625386622
frog,lion,"M102, S51, G22, G102, P53, P0",0.0014172298844091246,0.966997468485375
frog,lion,"M24, F102, F24, P51, F0, G22",5.769750810011744e-4,0.9522951301680841
frog,lion,"F53, P75, S51, S102, S24, G0",0.0017157144206273087,0.8595849609921697
frog,lion,"S22, S53, G102, G75, P0, M102",0.0012110481386079746,0.9297405406145587
frog,lion,"F102, G102, F51, F24, M0, P22",0.0010329528863575678,0.9471406020573928
