concept,F0,F102,F22,F24,F51,F53,F75,G0,G102,G22,G24,G51,G53,G75,M0,M102,M22,M24,M51,M53,M75,P0,P102,P22,P24,P51,P53,P75,S0,S102,S22,S24,S51,S53,S75
blizzard,0.4548611111111111,0.4965277777777778,0.4097222222222222,0.44791666666666663,0.42142857142857143,0.5,0.4340277777777778,0.375,0.3263888888888889,0.3680555555555556,0.45833333333333337,0.34375,0.32638888888888895,0.3715277777777778,0.4392857142857143,0.4861111111111111,0.5416666666666666,0.5138888888888888,0.4618055555555556,0.5392857142857143,0.5451388888888888,0.2951388888888889,0.3888888888888889,0.3142857142857143,0.2785714285714286,0.2673611111111111,0.2986111111111111,0.3125,0.3368055555555556,0.4930555555555556,0.4756944444444444,0.4131944444444444,0.32142857142857145,0.3784722222222222,0.4305555555555556
blueberry,0.5034722222222222,0.2048611111111111,0.24305555555555552,0.3194444444444444,0.1701388888888889,0.3819444444444444,0.2048611111111111,0.5104166666666666,0.12142857142857143,0.20138888888888892,0.23611111111111108,0.14930555555555555,0.3784722222222222,0.2152777777777778,0.34375,0.1840277777777778,0.21180555555555555,0.2847222222222222,0.19791666666666669,0.26785714285714285,0.1701388888888889,0.4965277777777778,0.07291666666666666,0.08680555555555554,0.11785714285714284,0.09375,0.18055555555555552,0.15625,0.5034722222222222,0.2604166666666667,0.2222222222222222,0.2847222222222222,0.2569444444444444,0.4027777777777778,0.2916666666666667
boat,0.4560810810810811,0.25337837837837834,0.32094594594594594,0.34459459459459457,0.28378378378378377,0.3885135135135135,0.3108108108108108,0.6925675675675675,0.3547297297297297,0.5110294117647058,0.5878378378378378,0.5208333333333334,0.5777027027027027,0.5,0.32094594594594594,0.25,0.30067567567567566,0.2702702702702703,0.27702702702702703,0.32432432432432434,0.3402777777777778,0.625,0.29729729729729726,0.32770270270270274,0.36824324324324326,0.3614864864864865,0.40878378378378377,0.3614864864864865,0.4966216216216216,0.39583333333333337,0.3716216216216216,0.4864864864864865,0.3952702702702703,0.45270270270270274,0.44594594594594594
car,0.45270270270270274,0.30405405405405406,0.4831081081081081,0.43243243243243246,0.35135135135135137,0.46621621621621623,0.43243243243243246,0.6790540540540541,0.3344594594594595,0.44256756756756754,0.5067567567567568,0.46875,0.5709459459459459,0.4054054054054054,0.543918918918919,0.4189189189189189,0.5574324324324325,0.527027027027027,0.4797297297297297,0.5878378378378378,0.4594594594594595,0.5405405405405406,0.30405405405405406,0.3344594594594595,0.34121621621621623,0.33783783783783783,0.4222972972972973,0.3716216216216216,0.28378378378378377,0.20945945945945948,0.26013513513513514,0.3090277777777778,0.2027027027027027,0.28716216216216217,0.23958333333333331
carrot,0.4,0.20357142857142857,0.33571428571428574,0.29642857142857143,0.31785714285714284,0.39642857142857146,0.2,0.3821428571428571,0.21785714285714286,0.3821428571428571,0.4392857142857143,0.41785714285714287,0.5285714285714286,0.3,0.2571428571428571,0.19642857142857142,0.22794117647058826,0.2642857142857143,0.2642857142857143,0.23214285714285715,0.24285714285714283,0.45,0.19642857142857145,0.2357142857142857,0.44285714285714284,0.3607142857142857,0.5535714285714286,0.27142857142857146,0.20357142857142857,0.12867647058823528,0.16428571428571428,0.18571428571428572,0.15357142857142858,0.25,0.12857142857142856
celery,0.3392857142857143,0.16071428571428573,0.24632352941176472,0.30357142857142855,0.5642857142857143,0.2857142857142857,0.125,0.36071428571428565,0.23571428571428568,0.34285714285714286,0.3464285714285714,0.6964285714285714,0.425,0.25357142857142856,0.1985294117647059,0.20714285714285713,0.19642857142857145,0.175,0.44642857142857145,0.14285714285714285,0.16428571428571428,0.41428571428571426,0.22058823529411764,0.2285714285714286,0.28928571428571426,0.6964285714285714,0.3821428571428571,0.2035714285714286,0.275,0.13214285714285717,0.18382352941176472,0.18928571428571428,0.5535714285714286,0.25735294117647056,0.125
cherry,0.4722222222222222,0.19444444444444448,0.18214285714285713,0.20486111111111108,0.19791666666666669,0.2916666666666667,0.19285714285714287,0.6111111111111112,0.25,0.33333333333333337,0.45833333333333337,0.37857142857142856,0.5034722222222222,0.3680555555555556,0.15714285714285714,0.1840277777777778,0.15625,0.13194444444444445,0.1597222222222222,0.16319444444444445,0.1388888888888889,0.4618055555555556,0.14285714285714288,0.09375,0.17708333333333334,0.1875,0.2222222222222222,0.1875,0.5590277777777778,0.3368055555555556,0.2743055555555556,0.3819444444444444,0.34375,0.5104166666666666,0.42013888888888895
comfort,0.652027027027027,0.5236486486486487,0.5608108108108109,0.527027027027027,0.581081081081081,0.6317567567567568,0.581081081081081,0.3055555555555556,0.09797297297297296,0.21621621621621623,0.22297297297297297,0.17905405405405406,0.2972972972972973,0.22635135135135137,0.6452702702702703,0.5405405405405406,0.668918918918919,0.6790540540540541,0.5945945945945946,0.6824324324324325,0.597972972972973,0.23648648648648649,0.08108108108108106,0.125,0.10472972972972974,0.11148648648648647,0.16666666666666669,0.14189189189189189,0.3918918918918919,0.5,0.4797297297297297,0.4290540540540541,0.46283783783783783,0.49324324324324326,0.48986486486486486
corn,0.15,0.625,0.18214285714285713,0.15714285714285714,0.24285714285714283,0.1142857142857143,0.5964285714285714,0.08214285714285714,0.6714285714285714,0.4392857142857143,0.24285714285714283,0.15714285714285714,0.11785714285714284,0.6035714285714285,0.10714285714285715,0.6285714285714286,0.2058823529411765,0.1392857142857143,0.24642857142857144,0.08928571428571429,0.5964285714285714,0.07142857142857144,0.6214285714285714,0.3142857142857143,0.3607142857142857,0.24285714285714283,0.16071428571428573,0.6892857142857143,0.13571428571428573,0.75,0.3345588235294118,0.30357142857142855,0.25357142857142856,0.17857142857142855,0.7607142857142857
dawn,0.45394736842105265,0.4459459459459459,0.41776315789473684,0.45065789473684215,0.48355263157894735,0.5526315789473684,0.45065789473684215,0.3618421052631579,0.3519736842105263,0.3059210526315789,0.35855263157894735,0.3848684210526316,0.40460526315789475,0.3059210526315789,0.49662162162162166,0.5032894736842105,0.4358108108108108,0.5789473684210527,0.4605263157894737,0.5131578947368421,0.5164473684210527,0.375,0.2894736842105263,0.2730263157894737,0.28289473684210525,0.29605263157894735,0.2861842105263158,0.24013157894736842,0.3651315789473684,0.3881578947368421,0.40789473684210525,0.42105263157894735,0.42105263157894735,0.3815789473684211,0.3618421052631579
