concept,texture_id,avg_rating
car,M51,0.4797297297297297
car,M53,0.5878378378378378
car,M75,0.4594594594594595
car,P0,0.5405405405405406
car,P102,0.30405405405405406
car,P22,0.3344594594594595
car,P24,0.34121621621621623
car,P51,0.33783783783783783
car,P53,0.4222972972972973
car,P75,0.3716216216216216
car,S0,0.28378378378378377
car,S102,0.20945945945945948
car,S22,0.26013513513513514
car,S24,0.3090277777777778
car,S51,0.2027027027027027
car,S53,0.28716216216216217
car,S75,0.23958333333333331
carrot,F0,0.4
carrot,F102,0.20357142857142857
carrot,F22,0.33571428571428574
carrot,F24,0.29642857142857143
carrot,F51,0.31785714285714284
carrot,F53,0.39642857142857146
carrot,F75,0.2
carrot,G0,0.3821428571428571
carrot,G102,0.21785714285714286
carrot,G22,0.3821428571428571
carrot,G24,0.4392857142857143
carrot,G51,0.41785714285714287
carrot,G53,0.5285714285714286
carrot,G75,0.3
carrot,M0,0.2571428571428571
carrot,M102,0.19642857142857142
carrot,M22,0.22794117647058826
carrot,M24,0.2642857142857143
carrot,M51,0.2642857142857143
carrot,M53,0.23214285714285715
carrot,M75,0.24285714285714283
carrot,P0,0.45
carrot,P102,0.19642857142857145
carrot,P22,0.2357142857142857
carrot,P24,0.44285714285714284
carrot,P51,0.3607142857142857
carrot,P53,0.5535714285714286
carrot,P75,0.27142857142857146
carrot,S0,0.20357142857142857
carrot,S102,0.12867647058823528
carrot,S22,0.16428571428571428
carrot,S24,0.18571428571428572
carrot,S51,0.15357142857142858
carrot,S53,0.25
carrot,S75,0.12857142857142856
celery,F0,0.3392857142857143
celery,F102,0.16071428571428573
celery,F22,0.24632352941176472
celery,F24,0.30357142857142855
celery,F51,0.5642857142857143
celery,F53,0.2857142857142857
celery,F75,0.125
celery,G0,0.36071428571428565
celery,G102,0.23571428571428568
celery,G22,0.34285714285714286
celery,G24,0.3464285714285714
celery,G51,0.6964285714285714
celery,G53,0.425
celery,G75,0.25357142857142856
celery,M0,0.1985294117647059
celery,M102,0.20714285714285713
celery,M22,0.19642857142857145
celery,M24,0.175
celery,M51,0.44642857142857145
celery,M53,0.14285714285714285
celery,M75,0.16428571428571428
celery,P0,0.41428571428571426
celery,P102,0.22058823529411764
celery,P22,0.2285714285714286
celery,P24,0.28928571428571426
celery,P51,0.6964285714285714
